date,time,total_cases,total_deaths,total administered vaccines,infection rate,death rate
04/17/2021,21:24:39,31382266,563216,205871913,0.09497540599084603,0.017946951313203452
04/19/2021,22:37:14,31484148,564292,211581309,0.09528374205278493,0.017923051308232955
04/19/2021,22:37:29,31484148,564292,211581309,0.09528374205278493,0.017923051308232955
04/19/2021,23:37:01,31484148,564292,211581309,0.09528374205278493,0.017923051308232955
04/20/2021,11:10:08,31484148,564292,211581309,0.09528374205278493,0.017923051308232955
